 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Ano do Óbito
Período:1993-1995
"Município";"1993";"1994";"1995";"Total"
"431517 Protásio Alves";3;5;3;11
"431520 Putinga";34;28;23;85
"431530 Quaraí";179;167;159;505
"431532 Quevedos";2;8;6;16
"431535 Quinze de Novembro";21;26;23;70
"431540 Redentora";35;31;27;93
"431545 Relvado";10;13;18;41
"431550 Restinga Seca";109;108;98;315
"431555 Rio dos Índios";15;20;4;39
"431560 Rio Grande";1617;1502;1530;4649
"431570 Rio Pardo";276;274;277;827
"431575 Riozinho";16;13;16;45
"431580 Roca Sales";58;63;71;192
"431590 Rodeio Bonito";52;40;35;127
"431600 Rolante";97;73;85;255
"431610 Ronda Alta";63;58;47;168
"431620 Rondinha";26;31;30;87
"431630 Roque Gonzales";50;49;51;150
"431640 Rosário do Sul";318;298;283;899
"431642 Sagrada Família";7;7;4;18
"431643 Saldanha Marinho";20;19;18;57
"431645 Salto do Jacuí";43;38;38;119
"431647 Salvador das Missões";3;10;2;15
"431650 Salvador do Sul";41;50;42;133
"431660 Sananduva";71;78;65;214
"431710 Sant'Ana do Livramento";626;612;645;1883
"431670 Santa Bárbara do Sul";46;54;40;140
"431675 Santa Clara do Sul";24;19;33;76
"431680 Santa Cruz do Sul";812;784;831;2427
"431690 Santa Maria";1822;1703;1692;5217
"431695 Santa Maria do Herval";36;29;32;97
"431720 Santa Rosa";466;461;482;1409
"431725 Santa Tereza";-;1;8;9
"431730 Santa Vitória do Palmar";230;200;192;622
"431700 Santana da Boa Vista";45;66;53;164
"431740 Santiago";390;389;351;1130
"431750 Santo Ângelo";613;576;561;1750
"431760 Santo Antônio da Patrulha";220;194;212;626
"431770 Santo Antônio das Missões";64;82;75;221
"431755 Santo Antônio do Palma";6;2;10;18
"431775 Santo Antônio do Planalto";4;2;5;11
"431780 Santo Augusto";100;100;92;292
"431790 Santo Cristo";82;76;85;243
"431795 Santo Expedito do Sul";5;9;7;21
"431800 São Borja";428;456;446;1330
"431805 São Domingos do Sul";18;18;15;51
"431810 São Francisco de Assis";144;138;140;422
"431820 São Francisco de Paula";148;135;110;393
"431830 São Gabriel";499;497;470;1466
"431840 São Jerônimo";154;149;163;466
"431842 São João da Urtiga";16;20;11;47
"431843 São João do Polêsine";21;10;20;51
"431844 São Jorge";14;8;4;26
"431845 São José das Missões";9;10;6;25
"431846 São José do Herval";14;13;11;38
"431848 São José do Hortêncio";14;5;10;29
"431849 São José do Inhacorá";21;14;22;57
"431850 São José do Norte";119;95;102;316
"431860 São José do Ouro";38;47;44;129
"431862 São José dos Ausentes";8;9;5;22
"431870 São Leopoldo";1033;1017;1014;3064
"431880 São Lourenço do Sul";343;313;313;969
"431890 São Luiz Gonzaga";340;284;273;897
"431900 São Marcos";96;98;93;287
"431910 São Martinho";48;38;26;112
"431912 São Martinho da Serra";12;4;15;31
"431915 São Miguel das Missões";12;17;19;48
"431920 São Nicolau";40;50;47;137
"431930 São Paulo das Missões";39;41;47;127
"431935 São Pedro da Serra";4;6;8;18
"431937 São Pedro do Butiá";7;8;-;15
"431940 São Pedro do Sul";164;150;184;498
"431950 São Sebastião do Caí";142;113;142;397
"431960 São Sepé";141;150;175;466
"431970 São Valentim";27;47;39;113
"431971 São Valentim do Sul";8;14;6;28
"431973 São Valério do Sul";3;5;4;12
"431975 São Vendelino";2;1;8;11
"431980 São Vicente do Sul";59;48;56;163
"431990 Sapiranga";261;251;301;813
"432000 Sapucaia do Sul";479;420;355;1254
"432010 Sarandi";117;91;115;323
"432020 Seberi";72;81;80;233
"432023 Sede Nova";14;10;9;33
"432026 Segredo";36;24;23;83
"432030 Selbach";30;21;35;86
"432035 Sentinela do Sul";14;7;14;35
"432040 Serafina Corrêa";40;52;66;158
"432045 Sério";18;22;10;50
"432050 Sertão";46;67;59;172
"432055 Sertão Santana";10;18;23;51
"432060 Severiano de Almeida";28;25;33;86
"432065 Silveira Martins";9;13;17;39
"432067 Sinimbu";88;82;95;265
"432070 Sobradinho";122;115;147;384
"432080 Soledade";220;237;207;664
"432090 Tapejara";87;109;92;288
"432100 Tapera";64;64;56;184
"432110 Tapes";139;121;102;362
"432120 Taquara";394;355;338;1087
"432130 Taquari";156;210;166;532
"432132 Taquaruçu do Sul";16;12;13;41
"432135 Tavares";12;24;22;58
"432140 Tenente Portela";88;91;102;281
"432143 Terra de Areia";33;39;49;121
"432145 Teutônia";125;116;131;372
"432147 Tiradentes do Sul";37;29;26;92
"432150 Torres";229;222;244;695
"432160 Tramandaí";140;126;125;391
"432162 Travesseiro";7;12;8;27
"432163 Três Arroios";17;15;14;46
"432166 Três Cachoeiras";30;25;28;83
"432170 Três Coroas";92;82;94;268
"432180 Três de Maio";186;117;150;453
"432183 Três Forquilhas";17;13;13;43
"432185 Três Palmeiras";10;10;13;33
"432190 Três Passos";235;195;206;636
"432195 Trindade do Sul";26;18;12;56
"432200 Triunfo";111;110;102;323
"432210 Tucunduva";36;24;32;92
"432215 Tunas";19;13;14;46
"432218 Tupanci do Sul";6;5;6;17
"432220 Tupanciretã";171;147;171;489
"432225 Tupandi";4;9;15;28
"432230 Tuparendi";57;66;78;201
"432235 União da Serra";3;5;4;12
"432240 Uruguaiana";970;930;956;2856
"432250 Vacaria";417;382;431;1230
"432253 Vale do Sol";74;80;72;226
"432254 Vale Real";14;8;16;38
"432255 Vanini";3;3;4;10
"432260 Venâncio Aires";361;387;432;1180
"432270 Vera Cruz";102;104;80;286
"432280 Veranópolis";107;104;103;314
"432290 Viadutos";33;30;27;90
"432300 Viamão";690;691;690;2071
"432310 Vicente Dutra";36;31;19;86
"432320 Victor Graeff";18;19;25;62
"432330 Vila Flores";-;-;4;4
"432340 Vila Maria";23;31;26;80
"432345 Vila Nova do Sul";2;7;20;29
"432350 Vista Alegre";7;2;7;16
"432360 Vista Alegre do Prata";4;6;5;15
"432370 Vista Gaúcha";20;18;21;59
"432375 Vitória das Missões";8;11;13;32
"432380 Xangri-lá";16;21;7;44
"430000 Município ignorado - RS";89;-;-;89
"500020 Água Clara";23;26;11;60
"500025 Alcinópolis";7;10;6;23
"500060 Amambai";126;139;131;396
"500070 Anastácio";51;77;58;186
"500080 Anaurilândia";35;37;27;99
"500085 Angélica";23;29;28;80
"500090 Antônio João";22;29;36;87
"500100 Aparecida do Taboado";94;94;89;277
"500110 Aquidauana";319;421;376;1116
"500124 Aral Moreira";15;14;20;49
"500150 Bandeirantes";29;25;22;76
"500190 Bataguassu";65;58;68;191
"500200 Batayporã";43;42;52;137
"500210 Bela Vista";115;79;115;309
"500215 Bodoquena";18;19;23;60
"500220 Bonito";63;58;54;175
"500230 Brasilândia";47;29;29;105
"500240 Caarapó";77;85;83;245
"500260 Camapuã";73;87;66;226
"500270 Campo Grande";3442;3787;3928;11157
"500280 Caracol";6;10;5;21
"500290 Cassilândia";42;94;88;224
"500295 Chapadão do Sul";13;16;13;42
"500310 Corguinho";7;3;5;15
"500315 Coronel Sapucaia";29;50;61;140
"500320 Corumbá";491;708;755;1954
"500325 Costa Rica";29;35;43;107
"500330 Coxim";139;119;116;374
"500345 Deodápolis";54;54;74;182
"500348 Dois Irmãos do Buriti";23;23;27;73
"500350 Douradina";11;9;17;37
"500370 Dourados";945;1066;1137;3148
"500375 Eldorado";85;63;36;184
"500380 Fátima do Sul";97;82;114;293
"500400 Glória de Dourados";47;46;47;140
"500410 Guia Lopes da Laguna";40;40;31;111
"500430 Iguatemi";34;56;47;137
"500440 Inocência";24;26;17;67
"500450 Itaporã";3;34;41;78
"500460 Itaquiraí";50;60;50;160
"500470 Ivinhema";102;132;125;359
"500480 Japorã";2;7;8;17
"500490 Jaraguari";7;7;5;19
"500500 Jardim";93;87;98;278
"500510 Jateí";19;11;13;43
"500515 Juti";28;25;29;82
"500520 Ladário";35;32;33;100
"500525 Laguna Carapã";5;3;9;17
"500540 Maracaju";96;91;109;296
"500560 Miranda";60;80;100;240
"500568 Mundo Novo";104;84;96;284
"500570 Naviraí";151;140;153;444
"500580 Nioaque";31;29;38;98
"500600 Nova Alvorada do Sul";22;25;31;78
"500620 Nova Andradina";160;145;144;449
"500625 Novo Horizonte do Sul";13;15;15;43
"500630 Paranaíba";178;199;204;581
"500635 Paranhos";33;31;24;88
"500640 Pedro Gomes";20;21;7;48
"500660 Ponta Porã";300;257;291;848
"500690 Porto Murtinho";58;57;56;171
"500710 Ribas do Rio Pardo";67;65;62;194
"500720 Rio Brilhante";76;73;65;214
"500730 Rio Negro";18;20;25;63
"500740 Rio Verde de Mato Grosso";73;60;71;204
"500750 Rochedo";7;14;4;25
"500755 Santa Rita do Pardo";26;22;22;70
"500769 São Gabriel do Oeste";32;42;47;121
"500780 Selvíria";10;14;12;36
"500770 Sete Quedas";101;91;109;301
"500790 Sidrolândia";60;73;65;198
"500793 Sonora";17;19;24;60
"500795 Tacuru";29;27;25;81
"500797 Taquarussu";8;10;11;29
"500800 Terenos";24;22;22;68
"500830 Três Lagoas";461;456;497;1414
"500840 Vicentina";11;16;17;44
"500000 Município ignorado - MS";3;15;1;19
"510010 Acorizal";9;13;8;30
"510020 Água Boa";20;19;32;71
"510025 Alta Floresta";187;216;217;620
"510030 Alto Araguaia";60;40;51;151
"510035 Alto Boa Vista";2;1;1;4
"510040 Alto Garças";45;43;38;126
"510050 Alto Paraguai";26;45;19;90
"510060 Alto Taquari";-;1;4;5
"510080 Apiacás";43;37;20;100
"510100 Araguaiana";6;10;15;31
"510120 Araguainha";5;4;2;11
"510125 Araputanga";34;29;15;78
"510130 Arenápolis";40;55;49;144
"510140 Aripuanã";29;21;43;93
"510160 Barão de Melgaço";13;10;27;50
"510170 Barra do Bugres";55;56;61;172
"510180 Barra do Garças";225;215;186;626
"510190 Brasnorte";21;1;13;35
"510250 Cáceres";309;376;388;1073
"510260 Campinápolis";23;14;4;41
"510263 Campo Novo do Parecis";18;27;37;82
"510267 Campo Verde";15;38;30;83
"510269 Canabrava do Norte";-;-;3;3
"510270 Canarana";35;34;38;107
"510285 Castanheira";10;16;22;48
"510300 Chapada dos Guimarães";17;7;22;46
"510305 Cláudia";4;12;10;26
"510310 Cocalinho";3;4;7;14
"510320 Colíder";169;129;120;418
"510330 Comodoro";2;18;46;66
"510335 Confresa";1;-;15;16
"510337 Cotriguaçu";5;4;9;18
"510340 Cuiabá";2286;2549;3302;8137
"510345 Denise";14;14;29;57
"510350 Diamantino";71;69;85;225
"510360 Dom Aquino";56;29;4;89
"510380 Figueirópolis D'Oeste";8;4;7;19
"510390 General Carneiro";2;1;4;7
"510395 Glória D'Oeste";2;-;18;20
"510410 Guarantã do Norte";78;51;61;190
"510420 Guiratinga";102;89;84;275
"510450 Indiavaí";1;6;-;7
"510455 Itaúba";17;14;20;51
"510460 Itiquira";33;7;13;53
"510480 Jaciara";79;111;78;268
"510490 Jangada";13;6;9;28
"510500 Jauru";41;28;33;102
"510510 Juara";110;116;127;353
"510515 Juína";163;153;158;474
"510517 Juruena";3;7;3;13
"510520 Juscimeira";35;35;34;104
"510523 Lambari D'Oeste";7;4;8;19
"510525 Lucas do Rio Verde";18;25;25;68
"510530 Luciara";1;1;-;2
"510558 Marcelândia";25;40;44;109
"510560 Matupá";48;63;62;173
"510562 Mirassol d'Oeste";97;88;97;282
"510590 Nobres";57;45;41;143
"510600 Nortelândia";40;33;33;106
"510610 Nossa Senhora do Livramento";24;13;18;55
"510615 Nova Bandeirantes";9;7;13;29
"510621 Nova Canaã do Norte";36;24;25;85
"510880 Nova Guarita";4;6;5;15
"510885 Nova Marilândia";-;1;1;2
"510890 Nova Maringá";1;8;8;17
"510895 Nova Monte Verde";4;2;3;9
"510622 Nova Mutum";24;33;20;77
"510623 Nova Olímpia";30;35;43;108
"510625 Nova Xavantina";61;56;81;198
"510627 Novo Horizonte do Norte";12;12;13;37
"510628 Novo São Joaquim";16;22;9;47
"510629 Paranaíta";30;33;30;93
"510630 Paranatinga";62;66;54;182
"510637 Pedra Preta";52;44;35;131
"510642 Peixoto de Azevedo";138;112;77;327
"510650 Poconé";124;122;123;369
"510665 Pontal do Araguaia";15;10;7;32
"510670 Ponte Branca";4;-;1;5
"510675 Pontes e Lacerda";203;210;206;619
"510677 Porto Alegre do Norte";19;18;16;53
"510680 Porto dos Gaúchos";24;28;20;72
"510682 Porto Esperidião";7;13;12;32
"510685 Porto Estrela";3;1;-;4
"510700 Poxoréo";85;71;100;256
"510704 Primavera do Leste";57;64;64;185
"510706 Querência";-;3;9;12
"510715 Reserva do Cabaçal";11;-;1;12
"510718 Ribeirão Cascalheira";15;12;7;34
"510719 Ribeirãozinho";3;2;-;5
"510720 Rio Branco";27;21;21;69
"510760 Rondonópolis";627;577;501;1705
"510770 Rosário Oeste";70;60;55;185
"510775 Salto do Céu";12;6;7;25
"510724 Santa Carmem";1;16;6;23
"510777 Santa Terezinha";21;5;1;27
"510726 Santo Afonso";4;7;5;16
"510780 Santo Antônio do Leverger";23;23;33;79
"510785 São Félix do Araguaia";8;17;13;38
"510729 São José do Povo";1;9;4;14
"510730 São José do Rio Claro";43;46;58;147
"510735 São José do Xingu";5;3;1;9
"510710 São José dos Quatro Marcos";60;82;100;242
"510740 São Pedro da Cipa";7;8;9;24
"510790 Sinop";119;138;171;428
"510792 Sorriso";73;101;74;248
"510794 Tabaporã";6;3;11;20
"510795 Tangará da Serra";133;196;209;538
"510800 Tapurah";17;17;14;48
"510805 Terra Nova do Norte";21;5;5;31
"510810 Tesouro";4;11;9;24
"510820 Torixoréu";22;20;10;52
"510840 Várzea Grande";388;296;522;1206
"510850 Vera";25;28;34;87
"510550 Vila Bela da Santíssima Trindade";16;32;20;68
"510860 Vila Rica";24;13;36;73
"510000 Município ignorado - MT";-;23;4;27
"520010 Abadiânia";30;35;37;102
"520013 Acreúna";41;52;40;133
"520015 Adelândia";5;5;6;16
"520017 Água Fria de Goiás";10;7;14;31
"520020 Água Limpa";2;2;2;6
"520030 Alexânia";49;58;56;163
"520050 Aloândia";13;11;11;35
"520055 Alto Horizonte";-;-;3;3
"520060 Alto Paraíso de Goiás";9;11;13;33
"520080 Alvorada do Norte";15;17;9;41
"520085 Americano do Brasil";9;17;25;51
"520090 Amorinópolis";13;14;21;48
"520110 Anápolis";1612;1549;1501;4662
"520120 Anhanguera";5;9;2;16
"520130 Anicuns";73;76;64;213
"520140 Aparecida de Goiânia";421;718;693;1832
"520150 Aporé";9;19;9;37
"520160 Araçu";22;15;10;47
"520170 Aragarças";79;74;74;227
"520180 Aragoiânia";13;13;14;40
"520215 Araguapaz";25;29;27;81
"520235 Arenópolis";20;11;10;41
"520250 Aruanã";8;21;10;39
"520260 Aurilândia";21;23;23;67
"520280 Avelinópolis";-;11;10;21
"520310 Baliza";6;7;6;19
"520320 Barro Alto";27;33;23;83
"520330 Bela Vista de Goiás";76;61;64;201
"520340 Bom Jardim de Goiás";21;30;43;94
"520350 Bom Jesus de Goiás";43;37;43;123
"520355 Bonfinópolis";14;19;11;44
"520360 Brazabrantes";5;5;5;15
"520380 Britânia";31;21;27;79
"520390 Buriti Alegre";50;58;48;156
"520393 Buriti de Goiás";-;-;6;6
"520396 Buritinópolis";-;-;3;3
"520400 Cabeceiras";18;21;20;59
"520410 Cachoeira Alta";31;31;30;92
"520420 Cachoeira de Goiás";3;8;6;17
"520425 Cachoeira Dourada";21;25;20;66
"520430 Caçu";63;69;58;190
"520440 Caiapônia";63;77;50;190
"520450 Caldas Novas";102;114;94;310
"520455 Caldazinha";1;-;2;3
"520460 Campestre de Goiás";5;11;3;19
"520465 Campinaçu";9;9;15;33
"520470 Campinorte";31;31;47;109
"520480 Campo Alegre de Goiás";12;15;9;36
"520490 Campos Belos";65;65;45;175
"520495 Campos Verdes";11;24;10;45
"520500 Carmo do Rio Verde";53;33;44;130
"520505 Castelândia";1;8;6;15
"520510 Catalão";355;352;340;1047
"520520 Caturaí";8;21;24;53
"520530 Cavalcante";15;13;9;37
"520540 Ceres";231;239;217;687
"520545 Cezarina";6;26;24;56
"520549 Cidade Ocidental";2;4;11;17
"520551 Cocalzinho de Goiás";15;14;15;44
"520552 Colinas do Sul";10;-;8;18
"520570 Córrego do Ouro";4;7;8;19
"520580 Corumbá de Goiás";66;64;41;171
"520590 Corumbaíba";23;33;19;75
"520620 Cristalina";102;101;99;302
"520630 Cristianópolis";11;8;9;28
"520640 Crixás";77;75;55;207
"520650 Cromínia";11;17;21;49
"520660 Cumari";6;11;14;31
"520670 Damianópolis";15;4;15;34
"520680 Damolândia";17;3;2;22
"520690 Davinópolis";5;5;9;19
"520710 Diorama";5;9;5;19
"520830 Divinópolis de Goiás";9;9;16;34
"520725 Doverlândia";31;30;35;96
"520735 Edealina";14;17;6;37
"520740 Edéia";32;37;39;108
"520750 Estrela do Norte";20;21;20;61
"520753 Faina";15;12;4;31
"520760 Fazenda Nova";20;22;18;60
"520780 Firminópolis";48;68;57;173
"520790 Flores de Goiás";15;25;17;57
"520800 Formosa";180;205;201;586
"520810 Formoso";26;25;18;69
"520840 Goianápolis";47;22;30;99
"520850 Goiandira";19;24;27;70
"520860 Goianésia";218;241;221;680
"520870 Goiânia";7319;7887;9334;24540
"520880 Goianira";48;56;50;154
"520890 Goiás";174;144;117;435
"520910 Goiatuba";157;194;168;519
"520915 Gouvelândia";5;2;7;14
"520920 Guapó";29;36;38;103
"520929 Guaraíta";2;6;2;10
"520940 Guarani de Goiás";17;22;9;48
"520945 Guarinos";6;4;1;11
"520960 Heitoraí";7;7;10;24
"520970 Hidrolândia";30;29;35;94
"520980 Hidrolina";22;25;24;71
"520990 Iaciara";22;20;25;67
"520993 Inaciolândia";1;-;5;6
"520995 Indiara";30;30;24;84
"521000 Inhumas";180;179;152;511
"521010 Ipameri";109;101;119;329
"521020 Iporá";167;202;175;544
"521030 Israelândia";20;15;16;51
"521040 Itaberaí";107;125;98;330
"521056 Itaguari";15;17;16;48
"521060 Itaguaru";20;23;20;63
"521080 Itajá";22;31;30;83
"521090 Itapaci";53;33;54;140
"521100 Itapirapuã";36;49;59;144
"521120 Itapuranga";130;91;11;232
"521130 Itarumã";13;14;9;36
"521140 Itauçu";40;54;42;136
"521150 Itumbiara";476;494;476;1446
"521160 Ivolândia";6;3;12;21
"521170 Jandaia";23;40;18;81
"521180 Jaraguá";108;142;139;389
"521190 Jataí";322;336;339;997
"521200 Jaupaci";13;13;17;43
"521205 Jesúpolis";-;-;4;4
"521210 Joviânia";28;18;22;68
"521220 Jussara";70;88;93;251
"521230 Leopoldo de Bulhões";27;25;24;76
"521250 Luziânia";379;417;415;1211
"521260 Mairipotaba";2;6;6;14
"521270 Mambaí";9;16;18;43
"521280 Mara Rosa";54;50;60;164
"521290 Marzagão";6;15;8;29
"521295 Matrinchã";4;5;5;14
"521300 Maurilândia";36;27;17;80
"521305 Mimoso de Goiás";4;5;8;17
"521308 Minaçu";109;113;111;333
"521310 Mineiros";181;232;170;583
"521340 Moiporá";6;5;6;17
"521350 Monte Alegre de Goiás";21;13;7;41
"521370 Montes Claros de Goiás";24;26;27;77
"521375 Montividiu";20;23;13;56
"521380 Morrinhos";156;175;147;478
"521385 Morro Agudo de Goiás";4;2;3;9
"521390 Mossâmedes";29;21;17;67
"521400 Mozarlândia";41;57;42;140
"521405 Mundo Novo";2;2;5;9
"521410 Mutunópolis";14;13;20;47
"521440 Nazário";23;27;36;86
"521450 Nerópolis";68;60;68;196
"521460 Niquelândia";129;127;103;359
"521470 Nova América";5;14;6;25
"521480 Nova Aurora";4;9;5;18
"521483 Nova Crixás";31;31;39;101
"521486 Nova Glória";28;29;22;79
"521487 Nova Iguaçu de Goiás";5;1;3;9
"521490 Nova Roma";-;18;7;25
"521500 Nova Veneza";18;36;16;70
"521520 Novo Brasil";16;30;17;63
"521525 Novo Planalto";5;2;9;16
"521530 Orizona";55;47;39;141
"521540 Ouro Verde de Goiás";11;1;21;33
"521550 Ouvidor";6;14;6;26
"521560 Padre Bernardo";55;38;61;154
"521565 Palestina de Goiás";5;6;9;20
"521570 Palmeiras de Goiás";52;85;52;189
"521580 Palmelo";12;6;9;27
"521600 Panamá";12;11;21;44
"521630 Paranaiguara";31;41;44;116
"521640 Paraúna";50;40;27;117
"521680 Petrolina de Goiás";69;57;43;169
"521690 Pilar de Goiás";11;10;6;27
"521710 Piracanjuba";127;129;103;359
"521720 Piranhas";52;56;55;163
"521730 Pirenópolis";89;110;20;219
"521740 Pires do Rio";136;121;129;386
"521760 Planaltina";103;95;99;297
"521770 Pontalina";68;70;46;184
"521800 Porangatu";175;180;177;532
"521810 Portelândia";11;24;17;52
"521830 Posse";81;90;68;239
"521839 Professor Jamil";-;1;4;5
"521850 Quirinópolis";156;159;168;483
"521860 Rialma";34;49;35;118
"521870 Rianápolis";19;18;14;51
"521878 Rio Quente";5;13;4;22
"521880 Rio Verde";537;619;580;1736
"521890 Rubiataba";59;69;72;200
"521900 Sanclerlândia";11;3;9;23
"521910 Santa Bárbara de Goiás";21;17;28;66
"521920 Santa Cruz de Goiás";6;10;6;22
"521925 Santa Fé de Goiás";12;9;11;32
"521930 Santa Helena de Goiás";115;116;112;343
"521935 Santa Isabel";10;8;4;22
"521940 Santa Rita do Araguaia";11;1;8;20
"521950 Santa Rosa de Goiás";21;24;20;65
"521960 Santa Tereza de Goiás";27;29;21;77
"521970 Santa Terezinha de Goiás";44;45;25;114
"521971 Santo Antônio da Barra";7;7;2;16
"521973 Santo Antônio de Goiás";-;-;5;5
"521975 Santo Antônio do Descoberto";111;119;138;368
"521980 São Domingos";19;24;19;62
"521990 São Francisco de Goiás";32;28;17;77
"522000 São João d'Aliança";20;16;15;51
"522005 São João da Paraúna";4;6;2;12
"522010 São Luís de Montes Belos";139;125;127;391
"522015 São Luíz do Norte";10;10;6;26
"522020 São Miguel do Araguaia";80;88;85;253
"522026 São Miguel do Passa Quatro";3;6;11;20
"522040 São Simão";68;63;75;206
"522045 Senador Canedo";31;48;54;133
"522050 Serranópolis";22;26;29;77
"522060 Silvânia";68;91;79;238
"522068 Simolândia";3;1;-;4
"522070 Sítio d'Abadia";2;4;2;8
"522100 Taquaral de Goiás";23;23;29;75
"522108 Teresina de Goiás";8;15;2;25
"522119 Terezópolis de Goiás";3;9;4;16
"522130 Três Ranchos";10;8;13;31
"522140 Trindade";124;132;156;412
"522145 Trombas";7;-;4;11
"522150 Turvânia";16;26;13;55
"522155 Turvelândia";13;4;8;25
"522157 Uirapuru";-;-;1;1
"522160 Uruaçu";191;220;197;608
"522170 Uruana";50;49;64;163
"522180 Urutaí";6;12;16;34
"522190 Varjão";16;8;8;32
"522200 Vianópolis";33;30;46;109
"522205 Vicentinópolis";15;27;15;57
"522220 Vila Boa";2;3;1;6
"520000 Município ignorado - GO";34;100;53;187
"530010 Brasília";9006;9480;9734;28220
"000000 Ignorado ou exterior";79;6;8;93
"Total";878106;887594;893877;2659577
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
